Company Holding,Latitude,Longitude,Certification ID,Country,Standard,Status,Link,Certified sites
PT Misaja Mitra,-6.834828,108.993386,ASC02451,Indonesia,Shrimp,Certified,https://www.misajamitra.com/,9
PT Bumi Pangan Utama,-6.839714,105.89432,ASC02863,Indonesia,Shrimp,Certified,https://www.sekarbumi.com/,1
PT. Central Pertiwi Bahari,-4.617222,105.830389,ASC00958,Indonesia,Shrimp,Certified,https://www.cpp.co.id/,1
PT Central Proteina Prima,-4.08799,105.765271,ASC01047,Indonesia,Shrimp,Certified,https://www.cpprimafood.com/home,564
PT Bumi Menara Internusa,-7.730724,113.449783,ASC02459,Indonesia,Shrimp,Certified,https://www.ptbmi.com/,1
PT Bumi Menara Internusa,-7.723183,113.7221,ASC01553,Indonesia,Shrimp,Certified,https://www.ptbmi.com/,1
PT. Delta Guna Sukses,-8.380153,113.404261,ASC00809,Indonesia,Shrimp,Certified,,1
PT. Anugerah Tanjung Gumukmas,-8.394278,113.395103,ASC02734,Indonesia,Shrimp,Certified,,1
PT. Samudra Seafood Products,-8.265444,114.369167,ASC02462,Indonesia,Shrimp,Certified,https://samudraseafoodproducts.com/,1
PT. Surya Windu Kartika,-8.376251,114.348339,ASC01514,Indonesia,Shrimp,Certified,,1
PT Mustika Minanusa Aurora,2.825728,117.721197,ASC02366,Indonesia,Shrimp,Certified,https://www.emis.com/php/company-profile/ID/PT_Mustika_Minanusa_Aurora_en_16486502.html,2
PT Bumi Pangan Utama,-7.5981,107.63392,ASC02370,Indonesia,Shrimp,Certified,https://www.sekarbumi.com/,1
